Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,Randomise questionnaire elements?,Question Key,Response
3,1614184331260,24/02/2021 16:32:11,1614184335344,0,24/02/2021 16:32:15,37087,25,questionnaire-9g37,,10337887,5fbe86b6984a030009733f29,3144954,,complete,,60367f7370b3671a28ab3706,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 88.0.4324.146,1440x900,1440x711,,Generic Consent,1,GradCAM,,5,,,,No,END QUESTIONNAIRE,6303
1,1614184339749,24/02/2021 16:32:19,1614184340755,0,24/02/2021 16:32:20,37087,25,questionnaire-9g37,,10337906,602eb957986f75adbd90caeb,3144961,,complete,,60367f8388c56a0c8a24a722,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1600x900,1600x789,,Generic Consent,1,NNs,,,,,9,No,BEGIN QUESTIONNAIRE,
2,1614184347847,24/02/2021 16:32:27,1614184348865,0,24/02/2021 16:32:28,37087,25,questionnaire-9g37,,10337906,602eb957986f75adbd90caeb,3144961,,complete,,60367f8388c56a0c8a24a722,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1600x900,1600x789,,Generic Consent,1,NNs,,,,,9,No,ConsentFlag,1
3,1614184347949,24/02/2021 16:32:27,1614184348870,0,24/02/2021 16:32:28,37087,25,questionnaire-9g37,,10337906,602eb957986f75adbd90caeb,3144961,,complete,,60367f8388c56a0c8a24a722,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1600x900,1600x789,,Generic Consent,1,NNs,,,,,9,No,END QUESTIONNAIRE,8115
1,1614184363822,24/02/2021 16:32:43,1614184335091,0,24/02/2021 16:32:15,37087,25,questionnaire-9g37,,10337938,5ce1b37e71a170001971342c,3144968,,complete,,60367fa4758564162abcfff6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x657,,Generic Consent,1,EP,,,5,,,No,BEGIN QUESTIONNAIRE,
2,1614184370639,24/02/2021 16:32:50,1614184341913,0,24/02/2021 16:32:21,37087,25,questionnaire-9g37,,10337938,5ce1b37e71a170001971342c,3144968,,complete,,60367fa4758564162abcfff6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x657,,Generic Consent,1,EP,,,5,,,No,ConsentFlag,1
3,1614184370702,24/02/2021 16:32:50,1614184341914,0,24/02/2021 16:32:21,37087,25,questionnaire-9g37,,10337938,5ce1b37e71a170001971342c,3144968,,complete,,60367fa4758564162abcfff6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x657,,Generic Consent,1,EP,,,5,,,No,END QUESTIONNAIRE,6823
1,1614184372220,24/02/2021 16:32:52,1614184371960,-5,24/02/2021 11:32:51,37087,25,questionnaire-9g37,,10337948,5fbac31a266280b286828b00,3144971,,complete,,60367f999db0a2caa7be2762,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1600x900,1600x789,,Generic Consent,1,SOD,,,,3,,No,BEGIN QUESTIONNAIRE,
2,1614184386271,24/02/2021 16:33:06,1614184385754,-5,24/02/2021 11:33:05,37087,25,questionnaire-9g37,,10337948,5fbac31a266280b286828b00,3144971,,complete,,60367f999db0a2caa7be2762,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1600x900,1600x789,,Generic Consent,1,SOD,,,,3,,No,ConsentFlag,1
3,1614184386459,24/02/2021 16:33:06,1614184385757,-5,24/02/2021 11:33:05,37087,25,questionnaire-9g37,,10337948,5fbac31a266280b286828b00,3144971,,complete,,60367f999db0a2caa7be2762,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1600x900,1600x789,,Generic Consent,1,SOD,,,,3,,No,END QUESTIONNAIRE,13797
